,date,Institution_Total,Foreign_Investor,Investment_Trust,Dealer,Dealer_Hedging,Dealer_self,Foreign_Dealer_Self,Open,High,Low,Close,Volume,MA5,MA10,MA20,MA60,RSI
20110411,20110411,2894142797,4301437785,-542749971,-864545017,0,0,0,8922.75,8922.75,8836.379883,8880.269531,2322000,8846.72793,8732.326856,8587.256982,8754.306787,62.92733245
20110412,20110412,-6637727100,-5260111167,-1537528549,159912616,0,0,0,8839.219727,8839.219727,8708.860352,8732.589844,2297200,8852.219922,8744.546875,8595.495459,8752.411458,52.80144323
20110413,20110413,-1622215065,-1507036081,-1385227631,1270048647,0,0,0,8727.950195,8780.200195,8700.080078,8780.200195,2134800,8837.863867,8767.260938,8608.504492,8750.694629,55.29878772
20110414,20110414,-243164246,-1290035879,305925616,740946017,0,0,0,8787.75,8835.389648,8772.299805,8802.730469,2277200,8818.066016,8787.876953,8636.902002,8751.028141,56.47250417
20110415,20110415,-5649481789,-4455582122,-326252269,-867647398,0,0,0,8828.629883,8834.070313,8716.700195,8718.120117,2372400,8782.782031,8795.058008,8656.579004,8749.365479,51.05133787
20110418,20110418,-4371251384,-1537792556,-1031391630,-1802067198,0,0,0,8752.55957,8764.650391,8703.110352,8714.480469,2042400,8749.624219,8798.176074,8678.168506,8745.750814,50.82531296
20110419,20110419,-13013076799,-11428278074,-438463887,-1146334838,0,0,0,8643.400391,8658.969727,8592.230469,8638.549805,2233000,8730.816211,8791.518067,8690.358496,8740.309977,46.22710723
20110420,20110420,8751175732,7336253245,211813176,1203109311,0,0,0,8704.480469,8813.280273,8698.969727,8813.280273,2643200,8737.432227,8787.648047,8707.637012,8737.604981,56.07523934
20110421,20110421,24088862205,20608184904,250761645,3229915656,0,0,0,8893.070313,8992.080078,8892.05957,8957.650391,3689400,8768.416211,8793.241113,8730.117529,8737.357324,62.23023928
20110422,20110422,9859535456,9733038272,-178040626,304537810,0,0,0,8980.429688,8992.669922,8956.070313,8969.429688,2776600,8818.678125,8800.730078,8751.33501,8738.096322,62.68962241
20110425,20110425,4305425221,3674642629,-1451699,632234291,0,0,0,9015.910156,9037.089844,8950.75,8950.75,2696800,8865.932031,8807.778125,8770.05249,8737.475488,61.41396841
20110426,20110426,-445577011,655329216,-1144971962,44065735,0,0,0,8894.009766,8966.860352,8866.740234,8948.139648,2392200,8927.85,8829.333106,8786.93999,8735.17749,61.22647301
20110427,20110427,13704823824,12206196823,1963713173,-465086172,0,0,0,9012.280273,9060.5,9012.280273,9049.25,3110000,8975.043945,8856.238086,8811.749512,8735.628825,65.60653828
20110428,20110428,9190387429,10085997949,-59522849,-836087671,0,0,0,9088.969727,9099.75,9021.360352,9040.769531,3087000,8991.667773,8880.041992,8833.959473,8737.068652,64.94387576
20110429,20110429,3984575255,6291045140,-413829142,-1892640743,0,0,0,9050.490234,9058.780273,8943.990234,9007.870117,3385400,8999.355859,8909.016992,8852.0375,8738.069987,62.31429828
20110503,20110503,4621886272,6733689044,-266984925,-1844817847,0,0,0,9014.330078,9018.700195,8895.25,8946.080078,2675400,8998.421875,8932.176953,8865.176514,8737.314828,57.59730838
20110504,20110504,-7359923671,-8256364072,-228157367,1124597768,0,0,0,8937.299805,8947.349609,8864.549805,8947.349609,2336800,8998.263867,8963.056934,8877.2875,8735.510824,57.66820955
20110505,20110505,4606074692,1508706579,513207578,2584160535,0,0,0,8930.240234,9029.580078,8907.969727,9018.610352,2702600,8992.135937,8983.589941,8885.618994,8734.115495,61.55419079
20110506,20110506,-3355922258,-2749627282,-1062406872,456111896,0,0,0,8997.730469,9018.400391,8954.80957,8977.230469,2796600,8979.428125,8985.547949,8889.394531,8731.313509,58.21244436
20110509,20110509,11804516922,11737279067,66952244,285611,0,0,0,9001.799805,9081.259766,8984.429688,9035.480469,2852600,8984.950195,8992.153027,8896.441553,8730.047184,61.39009369
20110510,20110510,4164581480,4499184237,-136133473,-198469284,0,0,0,9048.25,9055.910156,9007.929688,9023.280273,2172800,9000.390234,8999.406055,8903.59209,8730.321517,60.35488716
20110511,20110511,4249071210,4924433126,-117785360,-557576556,0,0,0,9073.879883,9082.009766,9014.360352,9020.400391,2358800,9015.000391,9006.632129,8917.982617,8733.385531,60.09726927
20110512,20110512,-2909711893,-2933776848,-926719796,950784751,0,0,0,8977.769531,9052.980469,8963.240234,9033.679688,2339800,9018.014258,9005.075098,8930.656592,8740.449186,60.9254827
20110513,20110513,-4148096313,-4513309073,335830674,29382086,0,0,0,9039.549805,9059.459961,8986.179688,9006.610352,2471800,9023.890235,9001.65918,8940.850586,8745.80153,58.2704187
20110516,20110516,-9197092664,-6572619748,-974453356,-1650019560,0,0,0,8996.700195,8996.700195,8911.709961,8911.709961,1993800,8999.136133,8992.043164,8950.530078,8748.964535,50.037616
